ASSERTION	AAEDAAECAwAAAAAAAIizQA==
RUN	test.scala.simulation.getPostcodesSimulation	getpostcodessimulation	1680427624258	 	3.6.1
USER	Get Postcodes Scenario	START	1680427625697
REQUEST		Get Postcode	1680427625727	1680427626185	OK	 
USER	Get Postcodes Scenario	END	1680427626203
USER	Get Postcodes Scenario	START	1680427626692
REQUEST		Get Postcode	1680427626693	1680427627019	OK	 
USER	Get Postcodes Scenario	END	1680427627021
USER	Get Postcodes Scenario	START	1680427627691
REQUEST		Get Postcode	1680427627692	1680427628043	OK	 
USER	Get Postcodes Scenario	END	1680427628044
USER	Get Postcodes Scenario	START	1680427628704
REQUEST		Get Postcode	1680427628704	1680427629001	OK	 
USER	Get Postcodes Scenario	END	1680427629002
USER	Get Postcodes Scenario	START	1680427629681
REQUEST		Get Postcode	1680427629681	1680427629990	OK	 
USER	Get Postcodes Scenario	END	1680427629992
USER	Get Postcodes Scenario	START	1680427630690
REQUEST		Get Postcode	1680427630691	1680427630955	OK	 
USER	Get Postcodes Scenario	END	1680427630957
USER	Get Postcodes Scenario	START	1680427631687
REQUEST		Get Postcode	1680427631688	1680427632038	OK	 
USER	Get Postcodes Scenario	END	1680427632039
USER	Get Postcodes Scenario	START	1680427632685
REQUEST		Get Postcode	1680427632686	1680427633062	OK	 
USER	Get Postcodes Scenario	END	1680427633064
USER	Get Postcodes Scenario	START	1680427633679
REQUEST		Get Postcode	1680427633680	1680427633989	OK	 
USER	Get Postcodes Scenario	END	1680427633990
USER	Get Postcodes Scenario	START	1680427634689
REQUEST		Get Postcode	1680427634690	1680427635005	OK	 
USER	Get Postcodes Scenario	END	1680427635007
